我认为团队利益高于个人利益。,S,2,,
我喜欢在人群中保持观察者的角色，而不是参与者。,S,-1.5,,
面对冲突，我通常选择回避而不是正面刚。,C,-2,,
我享受竞争带来的肾上腺素飙升的感觉。,C,2,,
信任是建立在长期合作基础上的，我很难信任陌生人。,S,-1,,
我擅长组织活动，协调不同人的需求。,S,2,,
我觉得大部分人都是愚蠢的，真理掌握在少数人手中。,S,-1,F,0.5
报复是维护尊严的一种必要手段。,C,1.5,,
即使是对手，如果表现出色，我也由衷佩服。,C,-1,S,0.5
我更喜欢独自解决问题，而不是寻求帮助。,S,-2,,
社交网络上的点赞和关注对我来说并不重要。,S,-1,,
我认为每个人都应该为自己的选择负责，而不是依赖集体。,S,-1,F,-0.5
无论在游戏还是现实中，我都有很强的领地意识。,C,2,,
与其在这个世界争斗，不如去寻找新的世界。,C,-1,F,1
我喜欢那种“兄弟连”般的战友情谊。,S,2,,
匿名性让我感到安全。,S,-1,,
我会在意别人对我的看法。,S,1,,
为了达成目标，可以使用一些灰色的手段。,C,1,A,1
我觉得世界是非黑即白的。,F,-1,C,1
妥协是软弱的表现。,C,1.5,,
