人类目前的进化速度太慢，我们需要外力的介入。,F,2,,
未知的力量通常意味着危险，而非机遇。,F,-2,,
自由意志比高等智慧更重要，哪怕这意味着平庸。,F,-2,,
如果能获得更高的认知能力，我愿意接受身体或精神的异变。,F,2,,
传统和秩序是社会稳定的基石，不应轻易打破。,F,-1.5,C,-0.5
混乱往往是新秩序诞生的前奏。,F,1.5,C,0.5
我相信在这个宇宙中，人类并不孤独，且“他们”是善意的。,F,2,,
人工智能最终会成为人类的守护者而非毁灭者。,F,-2,,
灵感是一种接收到的信号，而非单纯的大脑产物。,F,1,,
保护现状不受外来干扰是我们的首要职责。,F,-2,,
艺术的本质是揭示真理，而真理往往超越人类的理解。,F,1,A,-0.5
科技应当完全由人类掌控，而不是交给某种高等意识。,F,-2,,
我经常思考“我是谁，我从哪里来”这类哲学问题。,F,0.5,A,-0.5
实证主义是检验真理的唯一标准，看不见的就不存在。,F,-1,,
所谓的“启蒙”可能只是另一种形式的奴役。,F,-2,,
恐惧是阻碍人类进步的最大障碍。,F,1,,
我更倾向于相信直觉，而不是冰冷的数据。,F,1,,
必须警惕那些试图改变我们思想的事物。,F,-2,,
完美的未来值得我们牺牲现在的一部分人性。,F,2,,
哪怕是神，也不能干涉我的选择。,F,-2,,
Roland Jarvis (绿军领袖) 的思想即使激进，也有其可取之处。,F,2,,
ADA (蓝军领袖) 的逻辑虽然冷酷，但为了人类生存是必要的。,F,-2,,
我认为“进化”比“安全”更重要。,F,1.5,C,0.5
所有的“礼物”都在暗中标好了价格，我不想支付这个代价。,F,-1.5,,
“保持人类的纯粹性”是一种狭隘的思想。,F,1.5,,
即使那是进化的必经之路，如果我不理解，我也绝不踏入。,F,-1.5,,
我相信 N'zeer (反抗军关联的外星势力) 带来的知识优于 Shapers 的影响。,F,-2,,
两个阵营的理念其实没有对错，只看谁更适合当前的局势。,F,0,C,-1
面对一种能改变世界的技术，我们首先应该建立防御机制。,F,-1,,
我愿意成为连接人类与更高维度的桥梁。,F,2,,
如果明天外星飞船降临，我会走上前去迎接而不是躲进掩体。,F,2,A,-0.5
我对“精神控制”这个概念感到极度恐惧和恶心。,F,-2,,
真理往往掌握在少数敢于拥抱未知的人手中。,F,1,S,-0.5
XM 这种看不见的能量应该被全面管控，而不是随意吸收。,F,-1.5,,
拥抱变化是强者的特质。,F,1,C,0.5
守护家园是人类的第一本能。,F,-1.5,C,0.5
之所以选择我所在的阵营，不仅仅是因为颜色，更是因为信仰（蓝军选择红色，绿军选择绿色）。,F,5,,
